Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1959,3,My Heart Is An Open Book,"Carl Dobkins, Jr.",Pop,3,0.843,0.12,0.622,128.5,2.11,-17.3,0.611
1959,4,Mr. Blue,The Fleetwoods,R&B/Soul,1,0.374,0.089,0.211,96.7,2.42,-17.5,0.931
1959,5,Come Softly To Me,The Fleetwoods,R&B/Soul,1,0.601,0.095,0.672,123,2.42,-18.5,0.93
1959,6,Primrose Lane,Jerry Wallace With The Jewels,Pop,8,0.573,0.687,0.788,130.1,2.92,-8.7,0.638
1959,8,Put Your Head On My Shoulder,Paul Anka,Rock,2,0.547,0.335,0.474,115.8,2.58,-9.2,0.747
1959,9,Kansas City,Wilbert Harrison,R&B/Soul,1,0.591,0.648,0.922,118.9,2.53,-11.9,0.614
1959,10,Donna,Ritchie Valens,Rock,2,0.472,0.225,0.29,100.3,2.52,-12.6,0.864
1959,12,Stagger Lee,Lloyd Price,R&B/Soul,1,0.361,0.618,0.79,70.9,2.42,-8.1,0.74
1959,13,Mona Lisa,Conway Twitty,Country,25,0.531,0.68,0.89,87.3,2.51,-9.5,0.772
1959,14,Pink Shoe Laces,Dodie Stevens,Pop,3,0.758,0.587,0.882,85.8,2.42,-10.5,0.678
1959,15,What A Diff'rence A Day Makes,Dinah Washington,R&B/Soul,8,0.387,0.117,0.166,93.6,2.53,-17.8,0.925
1959,16,The Three Bells,The Browns,Pop,1,0.47,0.159,0.418,106.5,2.83,-14.8,0.893
1959,17,There Goes My Baby,The Drifters,R&B/Soul,2,0.596,0.827,0.662,81,3.46,-4.5,0.085
1959,18,Sea Of Love,Phil Phillips With The Twilights,Rock,2,0.683,0.513,0.903,104.5,2.56,-12.9,0.023
1959,19,Dream Lover,Bobby Darin,R&B/Soul,2,0.526,0.774,0.715,131.7,2.51,-1.7,0.715
1959,20,Venus,Frankie Avalon,Rock,1,0.685,0.957,0.892,126.1,3.81,-4.4,0.022
1959,21,Danny Boy,Conway Twitty,Country,10,0.228,0.232,0.103,137.6,2.92,-14,0.903
1959,22,Lonely Boy,Paul Anka,Rock,1,0.588,0.598,0.866,123.7,4.41,-13.3,0.039
1959,23,The Happy Organ,"Dave ""Baby"" Cortez",Pop,1,0.636,0.888,0.97,91.2,2.09,-6.8,0.544
1959,24,Sleep Walk,Santo & Johnny,Pop,1,0.779,0.212,0.444,94.7,2.42,-9.8,0.759
1959,26,It's Just A Matter Of Time,Brook Benton,R&B/Soul,3,0.57,0.273,0.471,101,2.42,-13.7,0.858
1959,27,Tragedy,Thomas Wayne With the Delons,Electronic/Dance,5,0.665,0.532,0.81,118,5.06,-10.8,0.089
1959,28,Red River Rock,Johnny And The Hurricanes,Rock,5,0.339,0.935,0.783,151.3,2.3,-4.8,0.662
1959,29,('til) I Kissed You,The Everly Brothers,Rock,4,0.518,0.432,0.701,139.6,2.43,-11.7,0.401
1959,30,Lipstick On Your Collar,Connie Francis,Rock,5,0.623,0.837,0.926,82.8,2.32,-10.5,0.583
1959,31,I Cried A Tear,LaVern Baker,R&B/Soul,6,0.348,0.179,0.547,169.2,2.6,-13.4,0.93
1959,32,Robbin' The Cradle,Tony Bellus,Pop,25,0.469,0.548,0.733,136.7,2.59,-8.1,0.551
1959,33,Don't You Know,Della Reese,Pop,2,0.149,0.367,0.374,170.6,2.53,-13,0.799
1959,34,16 Candles,The Crests,R&B/Soul,2,0.591,0.472,0.627,114.1,2.87,-4.9,0.733
1959,35,Sorry (I Ran All The Way Home),The Impalas,Pop,2,0.668,0.328,0.885,131.8,2.49,-12.9,0.702
1959,36,Tell Him No,Travis & Bob,Hip-Hop/Rap,8,0.302,0.873,0.765,97.2,2.15,-8.7,0.657
1959,37,Peter Gunn,Ray Anthony and His Orchestra,Pop,8,0.605,0.522,0.908,118.8,1.85,-12.8,0.599
1959,38,Charlie Brown,The Coasters,R&B/Soul,2,0.646,0.628,0.881,125.7,2.36,-8.8,0.404
1959,39,Lonely Street,Andy Williams,Pop,5,0.428,0.111,0.389,100.5,2.77,-16.5,0.95
1959,40,Teen Beat,Sandy Nelson,Rock,4,0.439,0.961,0.722,102.4,2.66,-9.4,0.006
1959,41,Guitar Boogie Shuffle,The Virtues,Pop,5,0.542,0.946,0.482,93.2,2.61,-7,0.105
1959,44,A Teenager In Love,Dion & The Belmonts,Pop,5,0.555,0.377,0.619,79,2.64,-9.1,0.671
1959,45,Deck Of Cards,Wink Martindale,Pop,7,0.49,0.376,0.672,170.8,4.01,-16.1,0.871
1959,46,Waterloo,Stonewall Jackson,Country,4,0.441,0.926,0.779,147.6,2.81,-4.7,0.423
1959,47,Never Be Anyone Else But You,Ricky Nelson,Rock,6,0.58,0.445,0.745,141.9,2.27,-10.3,0.127
1959,48,I'm Gonna Get Married,Lloyd Price,R&B/Soul,3,0.574,0.528,0.683,119.5,2.38,-9.3,0.768
1959,49,Poison Ivy,The Coasters,R&B/Soul,7,0.75,0.586,0.972,137.2,2.74,-9,0.381
1959,50,You're So Fine,The Falcons,R&B/Soul,17,0.65,0.385,0.735,116,2.48,-9.8,0.853
1959,51,Lonely Teardrops,Jackie Wilson,R&B/Soul,7,0.44,0.615,0.883,137.6,3.22,-8.2,0.379
1959,52,The Enchanted Sea,The Islanders,Pop,15,0.472,0.399,0.353,127.7,2.07,-14.2,0.711
